"region";"hustyp";"2015"
"1402 Partille";"övriga hus";546
"1402 Partille";"specialbostäder";325
"1407 Öckerö";"småhus";4286
"1407 Öckerö";"flerbostadshus";480
"1407 Öckerö";"övriga hus";92
"1407 Öckerö";"specialbostäder";151
"1415 Stenungsund";"småhus";7144
"1415 Stenungsund";"flerbostadshus";3147
"1415 Stenungsund";"övriga hus";217
"1415 Stenungsund";"specialbostäder";259
"1419 Tjörn";"småhus";5621
"1419 Tjörn";"flerbostadshus";513
"1419 Tjörn";"övriga hus";112
"1419 Tjörn";"specialbostäder";146
"1421 Orust";"småhus";5705
"1421 Orust";"flerbostadshus";866
"1421 Orust";"övriga hus";203
"1421 Orust";"specialbostäder";224
"1427 Sotenäs";"småhus";3385
"1427 Sotenäs";"flerbostadshus";1042
"1427 Sotenäs";"övriga hus";94
"1427 Sotenäs";"specialbostäder";7
"1430 Munkedal";"småhus";3578
"1430 Munkedal";"flerbostadshus";1121
"1430 Munkedal";"övriga hus";54
"1430 Munkedal";"specialbostäder";179
"1435 Tanum";"småhus";4629
"1435 Tanum";"flerbostadshus";1188
"1435 Tanum";"övriga hus";128
"1435 Tanum";"specialbostäder";199
"1438 Dals-Ed";"småhus";1589
"1438 Dals-Ed";"flerbostadshus";773
"1438 Dals-Ed";"övriga hus";52
"1438 Dals-Ed";"specialbostäder";97
"1439 Färgelanda";"småhus";2567
"1439 Färgelanda";"flerbostadshus";431
"1439 Färgelanda";"övriga hus";43
"1439 Färgelanda";"specialbostäder";159
"1440 Ale";"småhus";7657
"1440 Ale";"flerbostadshus";4076
"1440 Ale";"övriga hus";86
"1440 Ale";"specialbostäder";366
"1441 Lerum";"småhus";12204
"1441 Lerum";"flerbostadshus";3000
"1441 Lerum";"övriga hus";134
"1441 Lerum";"specialbostäder";467
"1442 Vårgårda";"småhus";3442
"1442 Vårgårda";"flerbostadshus";1124
"1442 Vårgårda";"övriga hus";97
"1442 Vårgårda";"specialbostäder";163
"1443 Bollebygd";"småhus";2643
"1443 Bollebygd";"flerbostadshus";925
"1443 Bollebygd";"övriga hus";31
"1443 Bollebygd";"specialbostäder";102
"1444 Grästorp";"småhus";2047
"1444 Grästorp";"flerbostadshus";473
"1444 Grästorp";"övriga hus";34
"1444 Grästorp";"specialbostäder";139
"1445 Essunga";"småhus";2101
"1445 Essunga";"flerbostadshus";348
"1445 Essunga";"övriga hus";22
"1445 Essunga";"specialbostäder";107
"1446 Karlsborg";"småhus";2211
"1446 Karlsborg";"flerbostadshus";1276
"1446 Karlsborg";"övriga hus";107
