"region";"hushållstyp";"ålder";"Medelvärde,  tkr 2015";"Medianvärde, tkr 2015"
"0560 Boxholm";"samtliga hushåll";"30-49 år";464.9;476.7
"0560 Boxholm";"samtliga hushåll";"50-64 år";453.6;415.9
"0560 Boxholm";"samtliga hushåll";"65+ år";306.3;237.0
"0560 Boxholm";"samtliga hushåll";"65-79 år";347.4;272.1
"0560 Boxholm";"samtliga hushåll";"80+ år";195.3;151.0
"0561 Åtvidaberg";"samtliga hushåll";"18+ år";394.9;333.1
"0561 Åtvidaberg";"samtliga hushåll";"18-29 år";285.4;244.3
"0561 Åtvidaberg";"samtliga hushåll";"30-49 år";483.0;474.8
"0561 Åtvidaberg";"samtliga hushåll";"50-64 år";483.2;454.7
"0561 Åtvidaberg";"samtliga hushåll";"65+ år";291.6;235.6
"0561 Åtvidaberg";"samtliga hushåll";"65-79 år";330.6;271.5
"0561 Åtvidaberg";"samtliga hushåll";"80+ år";202.3;152.7
"0562 Finspång";"samtliga hushåll";"18+ år";379.4;312.2
"0562 Finspång";"samtliga hushåll";"18-29 år";286.6;248.7
"0562 Finspång";"samtliga hushåll";"30-49 år";459.2;437.9
"0562 Finspång";"samtliga hushåll";"50-64 år";458.2;428.2
"0562 Finspång";"samtliga hushåll";"65+ år";282.6;231.4
"0562 Finspång";"samtliga hushåll";"65-79 år";320.9;269.1
"0562 Finspång";"samtliga hushåll";"80+ år";201.3;154.3
"0563 Valdemarsvik";"samtliga hushåll";"18+ år";375.4;302.4
"0563 Valdemarsvik";"samtliga hushåll";"18-29 år";307.3;262.3
"0563 Valdemarsvik";"samtliga hushåll";"30-49 år";452.0;431.2
"0563 Valdemarsvik";"samtliga hushåll";"50-64 år";440.7;417.0
"0563 Valdemarsvik";"samtliga hushåll";"65+ år";304.5;228.4
"0563 Valdemarsvik";"samtliga hushåll";"65-79 år";340.2;270.1
"0563 Valdemarsvik";"samtliga hushåll";"80+ år";211.5;149.3
"0580 Linköping";"samtliga hushåll";"18+ år";440.4;337.9
"0580 Linköping";"samtliga hushåll";"18-29 år";257.4;213.5
"0580 Linköping";"samtliga hushåll";"30-49 år";513.2;473.9
"0580 Linköping";"samtliga hushåll";"50-64 år";605.9;485.2
"0580 Linköping";"samtliga hushåll";"65+ år";354.0;250.2
"0580 Linköping";"samtliga hushåll";"65-79 år";403.6;298.1
"0580 Linköping";"samtliga hushåll";"80+ år";254.8;170.0
"0581 Norrköping";"samtliga hushåll";"18+ år";407.9;321.8
"0581 Norrköping";"samtliga hushåll";"18-29 år";293.7;246.8
"0581 Norrköping";"samtliga hushåll";"30-49 år";478.9;444.8
"0581 Norrköping";"samtliga hushåll";"50-64 år";496.1;423.4
"0581 Norrköping";"samtliga hushåll";"65+ år";314.1;220.7
"0581 Norrköping";"samtliga hushåll";"65-79 år";352.0;261.3
"0581 Norrköping";"samtliga hushåll";"80+ år";227.5;158.4
"0582 Söderköping";"samtliga hushåll";"18+ år";449.1;386.0
"0582 Söderköping";"samtliga hushåll";"18-29 år";346.5;321.4
"0582 Söderköping";"samtliga hushåll";"30-49 år";527.9;511.1
"0582 Söderköping";"samtliga hushåll";"50-64 år";531.2;473.4
"0582 Söderköping";"samtliga hushåll";"65+ år";340.7;255.8
"0582 Söderköping";"samtliga hushåll";"65-79 år";387.8;302.1
"0582 Söderköping";"samtliga hushåll";"80+ år";213.3;155.1
"0583 Motala";"samtliga hushåll";"18+ år";390.8;311.4
"0583 Motala";"samtliga hushåll";"18-29 år";292.6;250.6
"0583 Motala";"samtliga hushåll";"30-49 år";461.8;447.6
"0583 Motala";"samtliga hushåll";"50-64 år";473.2;415.5
"0583 Motala";"samtliga hushåll";"65+ år";289.7;219.0
"0583 Motala";"samtliga hushåll";"65-79 år";332.1;259.6
"0583 Motala";"samtliga hushåll";"80+ år";197.9;153.0
"0584 Vadstena";"samtliga hushåll";"18+ år";407.8;311.6
"0584 Vadstena";"samtliga hushåll";"18-29 år";310.6;254.6
"0584 Vadstena";"samtliga hushåll";"30-49 år";501.2;469.7
"0584 Vadstena";"samtliga hushåll";"50-64 år";515.1;437.9
"0584 Vadstena";"samtliga hushåll";"65+ år";311.3;233.6
"0584 Vadstena";"samtliga hushåll";"65-79 år";358.5;281.8
"0584 Vadstena";"samtliga hushåll";"80+ år";212.3;162.4
"0586 Mjölby";"samtliga hushåll";"18+ år";396.7;324.9
"0586 Mjölby";"samtliga hushåll";"18-29 år";309.0;265.5
"0586 Mjölby";"samtliga hushåll";"30-49 år";483.9;479.9
"0586 Mjölby";"samtliga hushåll";"50-64 år";469.8;425.7
"0586 Mjölby";"samtliga hushåll";"65+ år";287.6;222.0
"0586 Mjölby";"samtliga hushåll";"65-79 år";328.7;263.9
"0586 Mjölby";"samtliga hushåll";"80+ år";200.8;149.9
"0604 Aneby";"samtliga hushåll";"18+ år";414.3;350.1
"0604 Aneby";"samtliga hushåll";"18-29 år";334.0;276.9
"0604 Aneby";"samtliga hushåll";"30-49 år";477.0;474.2
"0604 Aneby";"samtliga hushåll";"50-64 år";509.7;452.7
