Anlaggningsnamn;WGS84Ost;WGS84Nord;ParameterKortnamn;Varde_BehArv
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;Total P;14.000000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;TOC;4024.000000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;Zn;1.400000000000000
Arla Foods AB, Falkenbergsmeje;12,53664434;56,89794277;Total N;27007.000000000000000
RôKILLE AVFALLSUPPLAG;12,77546724;56,06606122;Pb;0.075000000000000
StubbagÜrden;13,0754425;58,23073997;NH4-N;8316.000000000000000
RôKILLE AVFALLSUPPLAG;12,77546724;56,06606122;Total P;203.000000000000000
RôKILLE AVFALLSUPPLAG;12,77546724;56,06606122;Zn;1.400000000000000
Minpro AB;15,20144883;59,74383516;Cu;0.000000000000000
RôKILLE AVFALLSUPPLAG;12,77546724;56,06606122;As;0.690000000000000
RôKILLE AVFALLSUPPLAG;12,77546724;56,06606122;Cd;0.180000000000000
RôKILLE AVFALLSUPPLAG;12,77546724;56,06606122;Cr;0.150000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;BOD7;772.000000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;Cr;1.130000000000000
Falkîpings avfallsupplag;13,53745839;58,15579217;NH4-N;3753.000000000000000
Falkîpings avfallsupplag;13,53745839;58,15579217;Total N;4464.000000000000000
Falkîpings avfallsupplag;13,53745839;58,15579217;Pb;0.030000000000000
Falkîpings avfallsupplag;13,53745839;58,15579217;Zn;0.710000000000000
Falkîpings avfallsupplag;13,53745839;58,15579217;Total P;6.700000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;Cd;0.005300000000000
JIWE Varmfîrzinkning AB;16,47913573;59,34397639;Ni;0.015000000000000
JIWE Varmfîrzinkning AB;16,47913573;59,34397639;Zn;0.085000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;BOD7;876.000000000000000
Gunnar DafgÜrd AB;13,29552745;58,51160838;BOD7;1863.000000000000000
Gunnar DafgÜrd AB;13,29552745;58,51160838;Total N;2004.000000000000000
Gunnar DafgÜrd AB;13,29552745;58,51160838;Total P;51.000000000000000
Arla Foods AB, Falkenbergsmeje;12,53664434;56,89794277;BOD7;290595.000000000000000
StubbagÜrden;13,0754425;58,23073997;Total N;5000.000000000000000
Falkîpings avfallsupplag;13,53745839;58,15579217;As;0.080000000000000
Falkîpings avfallsupplag;13,53745839;58,15579217;BOD7;443.000000000000000
Falkîpings avfallsupplag;13,53745839;58,15579217;Cd;0.002000000000000
Falkîpings avfallsupplag;13,53745839;58,15579217;Total CN;0.405000000000000
Falkîpings avfallsupplag;13,53745839;58,15579217;COD-cr;5638.000000000000000
Falkîpings avfallsupplag;13,53745839;58,15579217;Cu;0.106000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;Cu;0.590000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;Cd;0.004000000000000
LersÑtters avfallsupplag;13,27947674;59,50756577;Total Cl;16434.000000000000000
FLEXTRUS  AB;13,16970194;55,69551044;BOD7;467.000000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;Cr;0.567000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;Cu;1.181000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;Phenols;0.838000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;Hg;0.004000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;NH4-N;760.000000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;Ni;1.575000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;Total N;6616.000000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;Pb;0.143000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;Total P;16.900000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;Zn;9.557000000000000
Falkîpings avfallsupplag;13,53745839;58,15579217;Phenols;0.760000000000000
Simrishamn Fryshus AB;14,35793964;55,55264389;Total P;1580.000000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;Hg;0.007000000000000
HôGBYTORPS AVFALLSANLéGGNING;17,62813026;59,5411058;Cr;1.040000000000000
HôGBYTORPS AVFALLSANLéGGNING;17,62813026;59,5411058;Cu;3.880000000000000
SCANIA SôDERTéLJE;17,64362409;59,16575797;Total P;1270.000000000000000
SCANIA SôDERTéLJE;17,64362409;59,16575797;COD-cr;96000.000000000000000
SCANIA SôDERTéLJE;17,64362409;59,16575797;BOD7;38000.000000000000000
SCANIA SôDERTéLJE;17,64362409;59,16575797;Total N;12000.000000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;NH4-N;1604.000000000000000
StubbagÜrden;13,0754425;58,23073997;Total P;125.000000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;Total Cl;19562.000000000000000
Mîrrums avfallsanlÑggning;14,72017572;56,18546809;COD-cr;16768.000000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;BOD7;672.000000000000000
LantmÑnnen Agroetanol AB;16,22923505;58,61406235;Total N;10427.000000000000000
LantmÑnnen Agroetanol AB;16,22923505;58,61406235;Total P;2288.000000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;Cd;0.018000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;As;0.370000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;BOD7;773.000000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;Cd;0.006000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;Total Cl;9451.000000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;COD-cr;15437.000000000000000
SCANIA SôDERTéLJE;17,64362409;59,16575797;Zn;61.000000000000000
Arla Foods AB, Visby;18,33173381;57,63448243;BOD7;137341.000000000000000
HôGBYTORPS AVFALLSANLéGGNING;17,62813026;59,5411058;Hg;0.010000000000000
HôGBYTORPS AVFALLSANLéGGNING;17,62813026;59,5411058;Ni;5.580000000000000
HôGBYTORPS AVFALLSANLéGGNING;17,62813026;59,5411058;Total N;9669.000000000000000
HôGBYTORPS AVFALLSANLéGGNING;17,62813026;59,5411058;Pb;0.680000000000000
HôGBYTORPS AVFALLSANLéGGNING;17,62813026;59,5411058;Total P;484.000000000000000
HôGBYTORPS AVFALLSANLéGGNING;17,62813026;59,5411058;Zn;39.220000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;Total CN;0.500000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;Cr;0.800000000000000
Arla Foods AB, Visby;18,33173381;57,63448243;Total P;2045.000000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;Cu;0.150000000000000
Skîvde avfallsupplag, RisÑngen;13,8796291;58,378743;Phenols;0.320000000000000
