"1499 Falk�ping";7.19;6.36;1.97;5.57;2.17;5.81;..;..;6.36;5.81;3.32;4.15;5.95;6.53;2.00;5.43
"1715 Kil";1.03;4.04;3.46;8.78;5.22;0.93;..;..;1.55;0.72;8.99;3.56;1.97;3.59;4.56;3.94
"1730 Eda";5.84;3.59;0.48;2.90;6.78;7.37;..;..;0.51;0.13;0.48;2.28;0.13;3.70;1.34;1.73
"1737 Torsby";1.24;1.76;0.24;4.22;3.32;2.56;..;..;2.14;0.34;1.45;2.59;0.24;6.74;3.49;2.04
"1760 Storfors";9.30;9.27;1.10;6.64;7.92;4.63;..;..;0.10;0.00;0.27;0.13;0.10;1.17;0.17;3.97
"1761 Hammar�";3.39;1.00;2.90;4.70;3.87;7.64;..;..;0.20;0.24;1.79;0.76;0.55;1.28;0.44;1.07
"1762 Munkfors";8.09;8.16;1.31;7.54;0.44;0.86;..;..;8.54;7.75;1.00;4.84;6.19;6.98;6.81;0.13
"1763 Forshaga";4.42;3.56;1.00;2.11;4.63;3.04;..;..;8.20;9.41;9.58;7.75;9.34;8.26;7.95;2.21
"1764 Grums";4.08;0.41;0.65;1.62;2.24;0.17;..;..;1.66;1.59;4.46;8.99;0.89;5.19;1.48;2.73
"1765 �rj�ng";8.20;6.64;5.57;4.46;1.69;0.44;..;..;4.91;8.82;0.69;8.20;3.97;9.75;6.40;8.78
"1766 Sunne";1.79;4.77;3.94;3.35;7.09;5.25;..;..;0.38;0.31;7.12;3.52;2.28;4.67;1.59;4.56
"1780 Karlstad";2.62;1.41;2.35;0.76;2.21;1.93;..;..;3.94;4.04;3.91;4.32;1.76;0.86;1.62;1.41
"1781 Kristinehamn";8.16;7.61;1.38;4.84;4.94;3.77;..;..;9.96;8.47;7.85;8.92;8.82;2.35;9.10;7.26
"1782 Filipstad";2.73;0.27;0.83;5.12;2.00;1.28;..;..;6.22;2.04;0.34;0.27;3.39;0.44;0.31;0.41
"1783 Hagfors";1.55;0.86;0.96;4.98;7.12;9.79;..;..;1.17;6.50;1.38;6.85;7.61;9.72;9.27;4.91
"1784 Arvika";4.87;2.94;1.52;3.25;3.18;1.62;..;..;1.52;0.69;4.77;2.04;0.38;3.52;0.69;1.03
"1785 S�ffle";3.87;2.83;7.37;0.83;6.29;2.24;..;..;4.39;3.91;7.71;4.53;5.15;8.58;8.16;8.61
